Nation,Year,Divorces,Birth_Rate,N_repro_female,F_Employment_Rate,F_Mean_Income,F_Median_Income,Fertility_Rate,Gdp,Employment_Gender_Gap,Closing_Housing_Price,M_Employment_Rate,M_Mean_Income,M_Median_Income,Marriages,Mean_Age_Childbearing,Population,Demand_For_Family,AVG_female_population,AVG_population_male,percentage_female_work_home,percentage_male_work_home,consumer_price_harmonized_index,F_mean_age_marriage,senior_position_woman,tertiary_ed_f,tertiary_ed_m,parliament_female,Perc_female_married_in_repro_age,Tot_f_married_in_repro_age
AT,2009,18806.0,9.155,2039346,68.2,22660.0,20471.0,1.39,288044.0,10.5,,78.7,24033.0,21705.0,35469.0,29.634,8343323,77.4,4281755,4061568,19.5,22.6,88.6425,,7.0,22.5,19.6,26.7,56.245471858951,1147039
AT,2010,17474.0,9.346,2030068,68.8,23489.0,21165.0,1.44,295896.6,10.2,78.84,79.0,24988.0,22322.0,37545.0,29.798,8363404,77.8,4290868,4072536,19.8,23.5,90.14416666666666,,8.7,22.6,18.7,29.4,56.3098281991424,1143127
AT,2011,17295.0,9.294,2020019,69.2,23870.0,21498.0,1.43,310128.7,10.0,83.06,79.2,25236.0,22778.0,36426.0,29.976,8391643,78.1,4303135,4088508,20.6,23.6,93.345,30.3,11.1,22.4,19.5,28.6,56.4187383141341,1139669
AT,2012,17006.0,9.324,2011347,69.6,24338.0,21912.0,1.44,318653.0,9.7,88.0,79.3,26024.0,23480.0,38592.0,30.138,8429991,78.3,4319108,4110883,20.1,23.9,95.74583333333334,30.6,11.9,24.3,21.3,29.0,56.5396993820001,1137209
AT,2013,15958.0,9.332,2003924,70.0,24441.0,22167.0,1.44,323910.2,9.1,91.68,79.1,25908.0,23588.0,36140.0,30.274,8479823,78.0,4340343,4139481,20.3,23.2,97.77333333333333,30.7,12.6,26.6,23.3,32.1,56.6438619346856,1135099
AT,2014,16647.0,9.517,1997761,70.1,26210.0,23509.0,1.46,333146.1,8.2,96.14,78.3,27700.0,24639.0,37458.0,30.382,8546356,77.7,4368488,4177868,20.6,23.3,99.20166666666668,30.9,17.1,,,30.3,56.7819378523391,1134367
AT,2015,16351.0,9.728,1996932,70.2,25888.0,23421.0,1.49,344269.2,8.2,100.61,78.4,27606.0,24826.0,44502.0,30.521,8642699,77.5,4406224,4236475,20.7,23.8,100.0,31.2,20.0,41.5,35.8,30.5,56.9539829240252,1137332
AT,2016,15919.0,9.975,1994812,70.9,26044.0,23905.0,1.53,357608.0,7.8,108.0,78.7,27615.0,25021.0,44890.0,30.599,8736668,77.8,4444171,4292497,20.8,23.6,100.97083333333336,31.3,18.1,43.2,36.2,30.7,57.0873963008088,1138786
AT,2017,16180.0,9.925,1985690,71.4,27705.0,24948.0,1.52,369361.9,8.0,112.65,79.4,29162.0,26265.0,44981.0,30.697,8797566,78.2,4472087,4325480,20.7,23.0,103.22333333333334,31.5,19.2,44.4,36.4,32.0,57.3434172024315,1138662
AT,2018,16304.0,9.666,1972821,71.7,27850.0,25369.0,1.47,385274.1,9.0,121.15,80.7,29458.0,26900.0,46468.0,30.823,8840521,78.7,4492746,4347776,20.5,23.2,105.41166666666668,31.7,26.1,44.9,36.1,36.5,57.5646620185517,1135647
AT,2019,16319.0,9.565,1959555,72.4,28852.0,25945.0,1.46,397147.2,8.8,128.74,81.2,30101.0,27173.0,46034.0,30.941,8879920,79.1,4512017,4367903,21.0,23.3,106.98333333333332,32.0,31.3,45.9,37.4,38.9,57.7918897026012,1132463
AT,2020,14870.0,9.367,1945229,70.6,29739.0,26886.0,1.44,380888.5,8.4,138.71,79.0,31059.0,27946.0,39662.0,30.945,8916864,79.3,4529002,4387862,29.1,29.9,108.46833333333332,,31.5,45.7,37.3,39.8,57.9702770441526,1127654
AT,2021,,9.498,1928854,71.3,30231.0,27591.0,1.48,405241.4,8.6,157.34,79.9,31228.0,28627.0,,30.917,8955797,79.4,4544578,4411219,28.7,28.7,111.39090909090908,,34.6,,,41.6,58.2230432609469,1123037
AT,2022,,9.451,1913602,73.4,30947.0,28095.0,1.41,447217.6,7.8,166.32,81.2,32216.0,29145.0,,31.029,9041851,79.6,4586701,4455150,27.9,27.8,121.06666666666666,,33.2,47.6,38.7,41.4,58.4571247863764,1118636
BE,2009,32606.0,11.758,2505811,61.0,20724.0,18923.0,1.84,346472.8,12.2,89.77,73.2,22037.0,20082.0,43303.0,29.605,10796493,73.7,5506057,5290436,16.9,19.3,89.9925,,7.6,48.7,36.3,39.8,59.2359938560812,1484342
BE,2010,28903.0,11.85,2505511,61.6,21153.0,18995.0,1.86,363140.1,11.9,92.65,73.5,22247.0,20308.0,42159.0,29.73,10895586,74.1,5554358,5341228,17.9,20.4,92.0925,,10.5,49.4,38.2,38.8,58.0756096723761,1455090
BE,2011,27522.0,11.575,2505394,61.5,21471.0,19433.0,1.81,375967.8,11.5,95.79,73.0,22431.0,20679.0,41001.0,29.834,11038264,74.4,5617261,5421003,18.7,22.1,95.18,,10.9,48.4,36.5,39.3,56.9422960602933,1426628
BE,2012,26145.0,11.438,2505390,61.7,21564.0,19653.0,1.8,386174.7,11.0,97.43,72.7,22666.0,21061.0,42198.0,29.973,11106932,74.6,5650360,5456572,18.9,22.0,97.67916666666667,,12.9,50.1,35.9,40.1,55.5150231161957,1390867
BE,2013,24872.0,11.185,2504458,62.1,22885.0,20878.0,1.76,392880.0,10.2,98.53,72.3,24207.0,22548.0,37854.0,30.133,11159407,74.8,5676083,5483324,19.5,22.7,98.89833333333333,,16.7,49.4,35.9,39.7,54.1195710425805,1355401
BE,2014,24310.0,11.071,2501532,62.9,23114.0,21080.0,1.74,403003.3,8.7,99.2,71.6,24392.0,22490.0,39878.0,30.257,11209057,74.8,5700127,5508930,21.0,23.6,99.38333333333333,,22.4,,,41.1,52.7582985220345,1319765
BE,2015,24667.0,10.811,2499509,63.0,23179.0,21084.0,1.7,416701.4,8.3,101.43,71.3,24868.0,22688.0,45005.0,30.361,11274196,74.7,5727530,5546666,21.1,23.3,99.99916666666668,,26.0,49.2,37.1,41.4,51.4213045147988,1285280
BE,2016,23583.0,10.72,2499678,63.0,23595.0,21408.0,1.68,430085.3,9.3,103.9,72.3,25294.0,23056.0,44725.0,30.458,11331422,74.6,5752154,5579268,21.8,23.5,101.76916666666666,,28.6,50.8,37.8,41.6,50.1587783868912,1253807
BE,2017,23068.0,10.505,2500900,63.6,23883.0,21862.0,1.65,445050.1,9.8,107.14,73.4,25427.0,23530.0,44329.0,30.61,11375158,74.5,5773413,5601745,22.7,24.1,104.03249999999998,31.2,30.7,,,40.7,48.9993188376117,1225423
BE,2018,23135.0,10.336,2502894,65.5,24757.0,22953.0,1.62,460050.8,8.4,110.06,73.9,26197.0,24455.0,45059.0,30.726,11427054,74.4,5797532,5629522,21.8,23.5,106.43666666666668,,32.0,54.2,40.6,39.5,47.93354151527,1199725
BE,2019,22435.0,10.114,2505653,66.5,25901.0,23921.0,1.6,478676.2,8.0,114.72,74.5,27509.0,25348.0,44281.0,30.811,11488980,74.4,5825954,5663026,24.5,24.9,107.76583333333332,,35.9,54.6,39.9,42.4,46.897058569591,1175077
BE,2020,21313.0,9.961,2508853,65.6,27147.0,24970.0,1.55,460535.2,8.1,121.45,73.7,28939.0,26513.0,32802.0,30.796,11538604,74.3,5847754,5690850,34.5,33.1,108.22666666666667,32.0,38.4,56.2,40.8,43.3,45.8779350556891,1151009
BE,2021,22172.0,10.051,2512787,66.8,27278.0,25268.0,1.6,508061.2,7.7,128.62,74.5,28809.0,26751.0,40845.0,30.778,11586195,74.4,5869136,5717060,41.9,38.4,111.65636363636364,32.2,37.9,,,43.8,44.9093964264219,1128477
BE,2022,19363.0,10.048,2513916,68.1,29121.0,26651.0,1.53,554213.7,7.6,134.55,75.7,30407.0,27903.0,48513.0,30.867,11680210,74.5,5915314,5764896,37.5,33.9,123.25916666666666,32.7,39.3,58.6,44.1,43.8,44.0031861485838,1106203
BG,2009,11662.0,10.865,1769048,63.6,3227.0,2757.0,1.66,37417.7,9.3,109.58,72.9,3404.0,2937.0,25923.0,26.618,7444443,86.9,3819536,3624907,2.2,1.3,93.81333333333332,,17.2,35.2,19.2,21.7,60.9411110544253,1078077
BG,2010,11012.0,10.329,1737249,60.3,3491.0,2960.0,1.57,38290.0,7.5,104.15,67.8,3622.0,3155.0,24286.0,27.053,7395599,86.9,3794157,3601442,2.2,1.5,96.66416666666667,,11.2,,,22.1,60.738992712546,1055187
BG,2011,10581.0,9.768,1703377,59.4,3434.0,2869.0,1.51,41479.9,5.8,98.1,65.2,3558.0,3052.0,21448.0,27.136,7348328,86.8,3770481,3577847,2.1,1.4,99.9375,26.6,15.2,,,22.1,60.5465155641028,1031335
BG,2012,11947.0,9.5,1669608,59.8,3276.0,2807.0,1.5,42255.3,5.2,96.82,65.0,3423.0,3000.0,21167.0,27.146,7305888,86.9,3749968,3555920,2.3,1.5,102.32666666666668,,11.6,34.0,20.9,23.0,60.3205684671486,1007117
BG,2013,10908.0,9.226,1636623,60.2,3563.0,2919.0,1.48,42056.2,5.4,95.66,65.6,3637.0,3067.0,21943.0,27.197,7265115,86.9,3730106,3535009,1.9,1.3,102.72083333333336,26.7,16.7,37.7,22.0,24.6,60.2198353962755,985571
BG,2014,10584.0,9.338,1607295,61.5,3929.0,3340.0,1.53,43024.7,5.8,98.32,67.3,4095.0,3463.0,24596.0,27.349,7223938,86.9,3710458,3513480,1.5,1.3,101.07666666666668,26.9,17.6,,,20.4,60.1249757908916,966385
BG,2015,10483.0,9.209,1582844,63.3,3975.0,3253.0,1.53,45797.8,6.3,102.23,69.6,4293.0,3520.0,27720.0,27.507,7177991,86.9,3688395,3489596,1.1,0.9,99.99833333333332,27.0,19.0,39.6,24.6,19.6,59.8917717650646,947993
BG,2016,10603.0,9.11,1561011,63.6,3858.0,3107.0,1.54,48752.1,6.8,110.52,70.4,4073.0,3327.0,26803.0,27.612,7127822,86.9,3664244,3463578,1.4,0.9,98.67583333333332,27.1,15.3,39.8,26.1,19.2,59.6485961741197,931121
BG,2017,10411.0,9.005,1539511,66.8,4546.0,3516.0,1.56,52501.8,7.6,119.53,74.4,4835.0,3788.0,28593.0,27.672,7075947,86.9,3639753,3436194,1.1,0.8,99.84833333333334,27.3,17.1,40.4,26.8,25.9,59.4901835377838,915857
BG,2018,10596.0,8.82,1513033,67.8,4554.0,3516.0,1.56,56199.8,7.7,126.15,75.5,4873.0,3773.0,28961.0,27.727,7025037,86.9,3615982,3409055,1.2,0.7,102.47583333333334,27.5,14.5,41.1,27.3,25.4,59.2563552963201,896568
BG,2019,10859.0,8.733,1481844,70.2,5366.0,4114.0,1.58,61530.8,8.1,133.99,78.3,5891.0,4473.0,29198.0,27.788,6975761,86.9,3593087,3382674,1.1,1.1,104.99416666666669,27.8,18.5,39.4,26.4,27.1,58.9216239207211,873126
BG,2020,9015.0,8.56,1452645,68.5,5859.0,4510.0,1.56,61607.7,8.3,141.23,76.8,6202.0,4856.0,22172.0,27.681,6934015,86.9,3574335,3359681,3.9,2.2,106.27416666666666,28.1,12.9,39.1,27.2,27.1,58.5752348111793,850890
BG,2021,10021.0,8.435,1426626,68.9,6664.0,5050.0,1.58,71060.1,8.4,154.48,77.3,6915.0,5377.0,26620.0,27.707,6877743,86.9,3547230,3330513,7.8,5.4,109.2381818181818,28.3,21.7,,,24.6,58.1866455996186,830105
BG,2022,9525.0,8.352,1405396,72.1,6643.0,5218.0,1.65,85800.7,7.5,175.14,79.6,7221.0,5773.0,26013.0,27.83,6643324,86.8,3437917,3205407,5.3,3.7,123.52416666666666,,14.8,,,23.8,57.7789462185563,812022
HR,2009,5076.0,10.492,1012680,58.0,,,1.58,45697.4,12.5,114.28,70.5,,,22382.0,28.932,4306322,78.2,2230613,2075709,3.3,3.2,91.555,,15.0,26.4,16.3,23.5,58.4623890648634,592036
HR,2010,5058.0,10.201,1000351,56.4,6556.0,5767.0,1.55,45875.5,11.5,109.8,67.9,6804.0,6029.0,21294.0,29.158,4296352,78.2,2224651,2071702,3.3,3.1,92.54666666666668,,15.6,,,24.8,57.7950884124504,578153
HR,2011,5662.0,9.743,987772,53.6,6158.0,5488.0,1.48,45674.2,12.5,111.99,66.1,6432.0,5762.0,20211.0,29.299,4282921,78.4,2217390,2065531,3.5,3.5,94.59166666666664,27.3,19.0,30.2,18.7,25.5,57.0840373478669,563860
HR,2012,5659.0,9.805,974925,52.6,5984.0,5371.0,1.51,44761.1,11.1,105.4,63.7,6207.0,5575.0,20323.0,29.447,4269062,78.3,2209666,2059396,3.7,3.7,97.76333333333334,27.3,15.1,29.4,18.0,25.8,56.2475900471761,548371
HR,2013,5992.0,9.423,961661,52.8,5830.0,5037.0,1.46,44606.9,8.8,103.63,61.6,6010.0,5364.0,19169.0,29.641,4254475,78.3,2201359,2053116,4.7,3.7,100.0375,27.6,15.1,34.2,20.7,23.8,55.4359537803846,533105
HR,2014,6140.0,9.289,947674,54.2,5811.0,5221.0,1.46,44193.5,10.0,102.14,64.2,6030.0,5489.0,19501.0,29.798,4236063,78.3,2191575,2044488,4.0,3.6,100.2575,27.8,19.0,,,25.8,54.7166769260092,518535
HR,2015,6010.0,8.875,932326,55.9,6055.0,5442.0,1.4,45498.5,9.5,99.96,65.4,6284.0,5682.0,19834.0,29.912,4207993,78.4,2176981,2031012,4.6,4.2,100.00083333333332,27.9,22.2,38.3,23.5,25.2,54.0856410788073,504254
HR,2016,7036.0,8.905,915567,56.6,6316.0,5654.0,1.42,47654.2,9.6,100.75,66.2,6509.0,5932.0,20467.0,30.097,4172441,78.4,2158438,2014004,5.7,4.9,99.37083333333334,28.0,19.9,41.0,24.8,18.5,53.4930169929832,489764
HR,2017,6265.0,8.818,898655,58.3,6774.0,6122.0,1.42,50329.1,10.6,108.45,68.9,7059.0,6450.0,20310.0,30.258,4129853,78.3,2136349,1993505,6.5,5.6,100.665,28.2,21.6,40.1,25.5,18.0,52.9803176213353,476110
HR,2018,6125.0,8.98,882550,60.1,7260.0,6551.0,1.47,53201.5,10.2,113.54,70.3,7570.0,6919.0,19921.0,30.365,4090870,78.4,2113684,1977186,7.2,6.3,102.2325,28.3,17.2,42.8,28.3,20.5,52.5134844785373,463457
HR,2019,5936.0,8.874,867509,61.5,7956.0,7161.0,1.47,56131.1,10.5,124.9,72.0,8241.0,7421.0,19761.0,30.457,4067206,78.4,2095095,1972111,7.3,6.6,103.04166666666669,28.5,27.0,46.2,25.1,19.9,52.1162759397293,452113
